node_count,timestamp
7448,5423
6879,8133
6506,10852
6145,13570
5828,16285
5561,18997
5371,21713
5225,24434
5077,27149
4971,29867
4841,32590
4755,35313
4669,38023
4563,40738
4475,43455
4401,46173
4318,48893
4232,51609
4173,54325
4095,57041
4020,59753
3959,62476
3879,65194
3801,67911
3741,70628
3660,73345
3598,76063
3548,78772
3475,81482
3404,84193
3355,86910
3317,89616
3248,92325
3185,95031
3128,97741
3068,100451
3019,103162
2968,105873
2934,108582
2909,111300
2870,114022
2841,116742
2807,119459
2769,122174
2740,124895
2711,127617
2673,130330
2654,133049
2615,135768
2573,138486
2538,141206
2511,143922
2485,146637
2446,149354
2425,152064
2389,154780
2345,157496
2327,160217
2293,162931
2264,165653
2233,168371
2213,171085
2181,173799
2147,176509
2103,179220
2095,181933
2077,184642
2056,187356
2039,190066
2015,192779
1983,195491
1970,198208
1945,200923
1922,203638
1901,206356
1894,209072
1881,211790
1868,214500
1847,217211
1839,219926
1822,222641
1792,225355
1765,228066
1744,230781
1726,233495
1703,236209
1676,238926
1654,241640
1630,244354
1618,247070
1600,249783
1587,252498
1560,255210
1547,257924
1533,260633
1512,263346
1491,266055
1468,268766
1457,271472
1452,274184
1430,276892
1414,279599
1399,282315
1390,285033
1366,287751
1358,293184
1352,295901
1339,298625
1338,301345
1324,304062
1316,306780
1303,309499
1286,312213
1265,314922
1255,317634
1246,320348
1237,323063
1218,325772
1185,328483
1172,333905
1161,336612
1147,339321
1139,342028
1131,344733
1108,347444
1099,350147
1090,352853
1079,355554
1062,358259
1056,360969
1050,363678
1042,366391
1028,369101
1015,371812
1008,377239
1005,379952
992,382666
982,385377
971,388088
967,390802
959,393517
949,396231
939,398945
938,401661
