node_count,timestamp
1942,3669
1846,5503
1780,7336
1705,9168
1672,11003
1612,12835
1580,14668
1529,16503
1499,18337
1465,20167
1424,21998
1372,23833
1346,25663
1319,27495
1282,29328
1256,31158
1230,32987
1199,34820
1181,36655
1161,38489
1142,40325
1115,42157
1099,43992
1082,45825
1063,47657
1038,49488
1030,51319
1022,53151
1004,54984
994,56814
980,58647
973,60482
962,64147
954,65978
948,67810
938,69641
928,71473
915,73308
912,75144
901,76973
892,80637
884,82471
877,84302
864,86134
846,87964
833,89796
822,91629
819,93461
813,95291
802,97121
790,98954
780,100786
777,102613
766,104443
759,106271
757,108101
744,109934
737,111762
726,113592
712,115423
707,117258
695,119088
689,120918
683,122747
675,124579
669,126414
663,128251
657,130084
640,131916
638,133749
633,135582
618,137412
612,139241
606,141070
603,142904
596,144735
588,146569
583,148402
568,150233
567,152063
563,153895
559,155727
552,157557
546,159389
541,161220
533,163050
527,164881
